top - 15:13:56 up  3:48,  2 users,  load average: 0.12, 0.04, 0.01
Tasks: 366 total,   1 running, 365 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.9%us,  0.2%sy,  0.0%ni, 95.2%id,  3.6%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1922372k total,  1844140k used,    78232k free,     8752k buffers
Swap:  1563644k total,   509996k used,  1053648k free,   162192k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                              
 1373 postgres  20   0  662m 4388 3148 S  0.0  0.2   0:00.00 postmaster                                           
 1374 postgres  20   0  662m 4408 3164 S  0.0  0.2   0:00.00 postmaster                                           
 1375 postgres  20   0  662m 4412 3168 S  0.0  0.2   0:00.00 postmaster                                           
 1376 postgres  20   0  662m 4408 3164 S  0.0  0.2   0:00.00 postmaster                                           
 1377 postgres  20   0  662m 4412 3168 S  0.0  0.2   0:00.00 postmaster                                           
 1378 postgres  20   0  662m 4412 3168 S  0.0  0.2   0:00.00 postmaster                                           
 1379 postgres  20   0  662m 4412 3164 S  0.0  0.2   0:00.03 postmaster                                           
 1380 postgres  20   0  662m 4396 3148 S  0.0  0.2   0:00.08 postmaster                                           
 1381 postgres  20   0  662m 4396 3148 S  0.0  0.2   0:00.00 postmaster                                           
 1382 postgres  20   0  662m 4416 3168 S  0.0  0.2   0:00.00 postmaster                                           
 1383 postgres  20   0  662m 4388 3140 S  0.0  0.2   0:00.00 postmaster                                           
 1384 postgres  20   0  662m 4404 3156 S  0.0  0.2   0:00.00 postmaster                                           
 1385 postgres  20   0  662m 4400 3152 S  0.0  0.2   0:00.00 postmaster                                           
 1386 postgres  20   0  662m 4400 3152 S  0.0  0.2   0:00.00 postmaster                                           
 1387 postgres  20   0  662m 4396 3148 S  0.0  0.2   0:00.00 postmaster                                           
